title,description,priority,labels,state
"TC-011 Delivery Shipping Validation","FR | Pre-requis: annonce en creation. Etapes: saisir poids/dimensions/valeur declaree, activer options livraison, passer a l apercu. Resultat attendu: validation metier correcte sans blocage injustifie. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ø¥Ø¹Ù„Ø§Ù† Ù‚ÙŠØ¯ Ø§Ù„Ø¥Ù†Ø´Ø§Ø¡. Ø§Ù„Ø®Ø·ÙˆØ§Øª: Ø¥Ø¯Ø®Ø§Ù„ Ø§Ù„ÙˆØ²Ù†/Ø§Ù„Ø£Ø¨Ø¹Ø§Ø¯/Ø§Ù„Ù‚ÙŠÙ…Ø© Ø§Ù„Ù…ØµØ±Ø­ Ø¨Ù‡Ø§ØŒ ØªÙØ¹ÙŠÙ„ Ø®ÙŠØ§Ø±Ø§Øª Ø§Ù„ØªÙˆØµÙŠÙ„ØŒ Ø§Ù„Ø§Ù†ØªÙ‚Ø§Ù„ Ù„Ù„Ù…Ø¹Ø§ÙŠÙ†Ø©. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: ØªØ­Ù‚Ù‚ ØµØ­ÙŠØ­ Ù„Ù‚ÙˆØ§Ø¹Ø¯ Ø§Ù„Ø¹Ù…Ù„ Ø¨Ø¯ÙˆÙ† Ø­Ø¸Ø± ØºÙŠØ± Ù…Ø¨Ø±Ø±.","P0","shipment,listing,create-product","Ready"
"TC-012 Publish Listing Visibility","FR | Pre-requis: brouillon annonce complet. Etapes: publier annonce, ouvrir Mes annonces, verifier presence de l annonce. Resultat attendu: annonce visible cote vendeur et cote public. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ù…Ø³ÙˆØ¯Ø© Ø¥Ø¹Ù„Ø§Ù† Ù…ÙƒØªÙ…Ù„Ø©. Ø§Ù„Ø®Ø·ÙˆØ§Øª: Ù†Ø´Ø± Ø§Ù„Ø¥Ø¹Ù„Ø§Ù†ØŒ ÙØªØ­ Ø¥Ø¹Ù„Ø§Ù†Ø§ØªÙŠØŒ Ø§Ù„ØªØ­Ù‚Ù‚ Ù…Ù† ÙˆØ¬ÙˆØ¯ Ø§Ù„Ø¥Ø¹Ù„Ø§Ù†. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: Ø§Ù„Ø¥Ø¹Ù„Ø§Ù† ÙŠØ¸Ù‡Ø± Ù„Ù„Ø¨Ø§Ø¦Ø¹ ÙˆÙÙŠ Ø§Ù„Ø¹Ø±Ø¶ Ø§Ù„Ø¹Ø§Ù….","P0","listing,publish,web,android","Ready"
"TC-013 Buyer Checkout Carrier Yalidine","FR | Pre-requis: produit achetable et transporteur Yalidine actif. Etapes: acheteur passe commande avec Yalidine. Resultat attendu: commande creee, frais estimes coherents, statut initial correct. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ù…Ù†ØªØ¬ Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø´Ø±Ø§Ø¡ ÙˆÙ†Ø§Ù‚Ù„ ÙŠØ§Ù„ÙŠØ¯ÙŠÙ† Ù…ÙØ¹Ù„. Ø§Ù„Ø®Ø·ÙˆØ§Øª: Ø§Ù„Ù…Ø´ØªØ±ÙŠ ÙŠÙ†ÙØ° Ø§Ù„Ø·Ù„Ø¨ Ù…Ø¹ ÙŠØ§Ù„ÙŠØ¯ÙŠÙ†. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: Ø¥Ù†Ø´Ø§Ø¡ Ø§Ù„Ø·Ù„Ø¨ Ø¨Ù†Ø¬Ø§Ø­ØŒ Ø±Ø³ÙˆÙ… ØªÙ‚Ø¯ÙŠØ±ÙŠØ© Ù…Ù†Ø·Ù‚ÙŠØ©ØŒ ÙˆØ­Ø§Ù„Ø© Ø£ÙˆÙ„ÙŠØ© ØµØ­ÙŠØ­Ø©.","P0","order,shipment,checkout,yalidine","Ready"
"TC-014 Buyer Checkout Carrier ZR","FR | Pre-requis: produit achetable et ZR actif. Etapes: acheteur passe commande avec ZR Express. Resultat attendu: commande creee, estimation frais correcte, pas d erreur API. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ù…Ù†ØªØ¬ Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø´Ø±Ø§Ø¡ ÙˆZR Express Ù…ÙØ¹Ù„. Ø§Ù„Ø®Ø·ÙˆØ§Øª: ØªÙ†ÙÙŠØ° Ø·Ù„Ø¨ Ø´Ø±Ø§Ø¡ Ù…Ø¹ ZR Express. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: Ø¥Ù†Ø´Ø§Ø¡ Ø§Ù„Ø·Ù„Ø¨ Ø¨Ù†Ø¬Ø§Ø­ØŒ ØªÙ‚Ø¯ÙŠØ± Ø±Ø³ÙˆÙ… ØµØ­ÙŠØ­ØŒ Ø¨Ø¯ÙˆÙ† Ø£Ø®Ø·Ø§Ø¡ API.","P0","order,shipment,checkout,zr","Ready"
"TC-015 Buyer Checkout Carrier Ecotrack","FR | Pre-requis: produit achetable et Ecotrack actif. Etapes: acheteur passe commande avec Ecotrack. Resultat attendu: commande creee et donnees livraison coherentes. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ù…Ù†ØªØ¬ Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø´Ø±Ø§Ø¡ ÙˆEcotrack Ù…ÙØ¹Ù„. Ø§Ù„Ø®Ø·ÙˆØ§Øª: ØªÙ†ÙÙŠØ° Ø·Ù„Ø¨ Ø´Ø±Ø§Ø¡ Ù…Ø¹ Ecotrack. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: Ø¥Ù†Ø´Ø§Ø¡ Ø§Ù„Ø·Ù„Ø¨ Ø¨Ù†Ø¬Ø§Ø­ ÙˆØ¨ÙŠØ§Ù†Ø§Øª ØªÙˆØµÙŠÙ„ Ù…ØªØ³Ù‚Ø©.","P0","order,shipment,checkout,ecotrack","Ready"
"TC-016 Buyer Checkout Carrier Guepex","FR | Pre-requis: produit achetable et Guepex actif. Etapes: acheteur passe commande avec Guepex. Resultat attendu: commande creee, estimation frais coherente, confirmation visible. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ù…Ù†ØªØ¬ Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø´Ø±Ø§Ø¡ ÙˆGuepex Ù…ÙØ¹Ù„. Ø§Ù„Ø®Ø·ÙˆØ§Øª: ØªÙ†ÙÙŠØ° Ø·Ù„Ø¨ Ø´Ø±Ø§Ø¡ Ù…Ø¹ Guepex. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: Ø¥Ù†Ø´Ø§Ø¡ Ø§Ù„Ø·Ù„Ø¨ Ø¨Ù†Ø¬Ø§Ø­ØŒ Ø±Ø³ÙˆÙ… ØªÙ‚Ø¯ÙŠØ±ÙŠØ© Ù…ØªÙ†Ø§Ø³Ù‚Ø©ØŒ ÙˆØ¸Ù‡ÙˆØ± Ø§Ù„ØªØ£ÙƒÙŠØ¯.","P0","order,shipment,checkout,guepex","Ready"
"TC-017 Seller Generate Bordereau","FR | Pre-requis: commande vendeur eligible. Etapes: Mes ventes > ouvrir commande > Generer bordereau. Resultat attendu: bordereau genere sans erreur et etat commande mis a jour. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ø·Ù„Ø¨ Ø¨Ø§Ø¦Ø¹ Ù…Ø¤Ù‡Ù„ Ù„ØªÙˆÙ„ÙŠØ¯ Ø§Ù„Ø¨ÙˆØ±Ø¯ÙŠØ±Ùˆ. Ø§Ù„Ø®Ø·ÙˆØ§Øª: Ù…Ø¨ÙŠØ¹Ø§ØªÙŠ > ÙØªØ­ Ø§Ù„Ø·Ù„Ø¨ > ØªÙˆÙ„ÙŠØ¯ Ø§Ù„Ø¨ÙˆØ±Ø¯ÙŠØ±Ùˆ. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: ØªÙˆÙ„ÙŠØ¯ Ø§Ù„Ø¨ÙˆØ±Ø¯ÙŠØ±Ùˆ Ø¨Ø¯ÙˆÙ† Ø®Ø·Ø£ ÙˆØªØ­Ø¯ÙŠØ« Ø­Ø§Ù„Ø© Ø§Ù„Ø·Ù„Ø¨.","P0","shipment,order,bordereau","Ready"
"TC-018 Seller Open Label PDF","FR | Pre-requis: commande avec label_url valide. Etapes: Mes ventes > ouvrir commande > Ouvrir label. Resultat attendu: PDF s ouvre (viewer/telechargement), pas de page noire. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: Ø·Ù„Ø¨ ÙŠØ­ØªÙˆÙŠ Ø±Ø§Ø¨Ø· Ù…Ù„ØµÙ‚ ØµØ§Ù„Ø­. Ø§Ù„Ø®Ø·ÙˆØ§Øª: Ù…Ø¨ÙŠØ¹Ø§ØªÙŠ > ÙØªØ­ Ø§Ù„Ø·Ù„Ø¨ > ÙØªØ­ Ø§Ù„Ù…Ù„ØµÙ‚. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: ÙØªØ­ Ù…Ù„Ù PDF (Ø¹Ø±Ø¶/ØªØ­Ù…ÙŠÙ„) Ø¨Ø¯ÙˆÙ† Ø´Ø§Ø´Ø© Ø³ÙˆØ¯Ø§Ø¡.","P0","shipment,label-pdf,web,android","Ready"
"TC-019 Notifications FR AR","FR | Pre-requis: notifications messages/offres/commandes existantes. Etapes: verifier ecran notifications en FR puis basculer AR. Resultat attendu: textes traduits, aucune cle notifications.* visible, mise en page lisible. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: ÙˆØ¬ÙˆØ¯ Ø¥Ø´Ø¹Ø§Ø±Ø§Øª Ù„Ù„Ø±Ø³Ø§Ø¦Ù„/Ø§Ù„Ø¹Ø±ÙˆØ¶/Ø§Ù„Ø·Ù„Ø¨Ø§Øª. Ø§Ù„Ø®Ø·ÙˆØ§Øª: ÙØ­Øµ Ø´Ø§Ø´Ø© Ø§Ù„Ø¥Ø´Ø¹Ø§Ø±Ø§Øª Ø¨Ø§Ù„ÙØ±Ù†Ø³ÙŠØ© Ø«Ù… Ø§Ù„ØªØ­ÙˆÙŠÙ„ Ù„Ù„Ø¹Ø±Ø¨ÙŠØ©. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: Ù†ØµÙˆØµ Ù…ØªØ±Ø¬Ù…Ø©ØŒ Ø¹Ø¯Ù… Ø¸Ù‡ÙˆØ± Ù…ÙØ§ØªÙŠØ­ notifications.*ØŒ ÙˆØªØ®Ø·ÙŠØ· ÙˆØ§Ø¶Ø­.","P0","i18n-fr,i18n-ar,order,notifications","Ready"
"TC-020 Historique Retours","FR | Pre-requis: commandes avec retours/historiques disponibles. Etapes: Mes ventes > historique des retours, ouvrir plusieurs commandes et comparer timeline. Resultat attendu: historique visible, statuts coherents avec evenements transporteur. || AR | Ø§Ù„Ù…ØªØ·Ù„Ø¨Ø§Øª: ØªÙˆÙØ± Ø·Ù„Ø¨Ø§Øª Ù…Ø¹ Ø¥Ø±Ø¬Ø§Ø¹/Ø³Ø¬Ù„. Ø§Ù„Ø®Ø·ÙˆØ§Øª: Ù…Ø¨ÙŠØ¹Ø§ØªÙŠ > Ø³Ø¬Ù„ Ø§Ù„Ø¥Ø±Ø¬Ø§Ø¹ØŒ ÙØªØ­ Ø¹Ø¯Ø© Ø·Ù„Ø¨Ø§Øª ÙˆÙ…Ù‚Ø§Ø±Ù†Ø© Ø§Ù„ØªØ³Ù„Ø³Ù„ Ø§Ù„Ø²Ù…Ù†ÙŠ. Ø§Ù„Ù†ØªÙŠØ¬Ø© Ø§Ù„Ù…ØªÙˆÙ‚Ø¹Ø©: Ø§Ù„Ø³Ø¬Ù„ Ø¸Ø§Ù‡Ø± ÙˆØ­Ø§Ù„Ø§Øª Ø§Ù„Ø·Ù„Ø¨ Ù…ØªÙˆØ§ÙÙ‚Ø© Ù…Ø¹ Ø£Ø­Ø¯Ø§Ø« Ø§Ù„Ù†Ø§Ù‚Ù„.","P1","order,shipment,returns","Ready"
